log_timestamp,ip,raw,day,hour,minute
1601288759340,192.168.86.61,117.136.63.84 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?iclicashsid=YmUxZTJhYTVlZWFkYzI5NDZkYmUwLjc3NDEwMTMz&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=82f86435ef22d382&opt_app_pkgid=com.lechuan.mdwz&opt_app_vc=102400&opt_app_vn=1.24.0.0917.1354&opt_bootstrap_v=1.371&opt_brand=OPPO&opt_channel=&opt_current_index=0&opt_current_page=0&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=3.1.0&opt_dsp_slotid=5015000238&opt_exp_id=3%2C47297%2C54409%2C62106%2C66926%2C66927%2C69658%2C75153%2C75249%2C75272%2C75298%2C76136%2C76370%2C77711%2C77721%2C77749%2C79337%2C79478%2C79479%2C79889%2C80278%2C80655%2C80746%2C80835%2C81280%2C81500%2C81622%2C81717%2C81723%2C82236%2C82362%2C82388%2C82545&opt_ideaid=0&opt_imei=&opt_imsi=&opt_limit_price=0&opt_mediaid=80004786&opt_meid=&opt_memberid=1703713&opt_model=PCAM10&opt_nettype=NETTYPE_LTE&opt_oaid=68A9FD2F3DBC4C29B30312FE959504A77aa918b6844d2607b59bfcd8c1f32d72&opt_orientation=0&opt_os_version=10&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=YmUxZTJhYTVlZWFkYzI5NDZkYmUwLjc3NDEwMTMz&opt_seq_id=1&opt_slotid=9000157&opt_src=KUAISHOU&opt_unique_slotid=null&opt_v=2.810&os=Android&sh=2132&sw=1080&t=dsp_reqid&timestamp=1601288743091&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 10; PCAM10 Build/QP1A.190711.020)" "117.136.63.84" "-" 0.000 "tuid=V9o3fJaCeQ6A7VFGKPo82A" "tkid=ACFX2jd8loJ5DoDtUUYo-jzYL8nzCmwVeIBtZHd6",2020-09-28,18,25
1601288759880,192.168.86.54,120.244.144.212 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?iclicashsid=YzhkNGRlODAwOTk2ZWQ2ZmZlZTkwLjQ4NjU1OTYx&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=fcba63abfc340e21&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30997000&opt_app_vn=3.9.97.000.0923.1549&opt_bootstrap_v=1.371&opt_brand=HONOR&opt_channel=1&opt_current_index=1&opt_current_page=1&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=&opt_dsp_slotid=2021723283470903&opt_exp_id=1%2C79562%2C82572%2C82731&opt_ideaid=0&opt_imei=862848047015762&opt_imsi=&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=132083017&opt_model=HLK-AL00&opt_nettype=NETTYPE_WIFI&opt_oaid=f4eeefdd-ccef-2ab9-bdde-efedfebd30e8&opt_orientation=0&opt_os_version=10&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=YzhkNGRlODAwOTk2ZWQ2ZmZlZTkwLjQ4NjU1OTYx&opt_seq_id=1&opt_slotid=7481000&opt_src=GDT&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=2340&sw=1080&t=dsp_reqid&timestamp=1601288756016&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 10; HLK-AL00 Build/HONORHLK-AL00)" "120.244.144.212" "-" 0.000 "tuid=WMMPqkzXSRCcO716O98qAA" "tkid=ACFYww-qTNdJEJw7vXo73yoAuoHPxuWZJb00NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759802,192.168.95.55,117.152.145.212 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?gdt_ad_num=0&iclicashsid=MWM2YTk0MDAyODFhYmYxODE2NjQwLjgzNS0yMDU4&is_background=0&is_cache=0&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=610be0f59cca97e1&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30985000&opt_app_vn=3.9.85.000.0702.1633&opt_bootstrap_v=1.361&opt_brand=OPPO&opt_channel=&opt_current_index=0&opt_current_page=0&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=2.840&opt_dsp_slotid=7052854&opt_exp_id=1%2C67783%2C68535%2C69355%2C70948%2C75762%2C75936%2C78613%2C78734%2C78817%2C79561%2C80369%2C81139%2C81245%2C81677%2C82046%2C82096%2C82153%2C82189%2C82366%2C82404%2C82546%2C82646%2C82744%2C82749%2C82772&opt_ideaid=0&opt_imei=869465037430936&opt_imsi=460006414873330&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=632743413&opt_model=PBAM00&opt_nettype=NETTYPE_WIFI&opt_oaid=&opt_orientation=0&opt_os_version=8.1.0&opt_report_type=0&opt_sdk_adtype=5&opt_searchid=MWM2YTk0MDAyODFhYmYxODE2NjQwLjgzNS0yMDU4&opt_seq_id=1&opt_slotid=7052854&opt_src=ADX&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=1520&sw=720&t=dsp_reqid&timestamp=1601288688403&toutiao_ad_num=0&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PBAM00 Build/OPM1.171019.026)" "117.152.145.212" "-" 0.000 "tuid=w1ppIqsHXtro8sTLrZBl-g" "tkid=ACHDWmkiqwde2ujyxMutkGX659QzMd12q8Q0NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759286,192.168.96.214,60.222.211.24 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?iclicashsid=Y2Y0ZGMzMDI2N2ZkNmFiM2U1NGQwLjA3Ni0yMDUt&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=4ee17980b2b6f824&opt_app_pkgid=com.lechuan.mdwz&opt_app_vc=102500&opt_app_vn=1.25.0.0927.1150&opt_bootstrap_v=1.372&opt_brand=HUAWEI&opt_channel=&opt_current_index=0&opt_current_page=0&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=3.1.0&opt_dsp_slotid=5015000235&opt_exp_id=3%2C47296%2C54409%2C62106%2C66925%2C66928%2C67832%2C69659%2C75153%2C75249%2C75272%2C75297%2C76137%2C76370%2C77708%2C77717%2C77749%2C79337%2C79477%2C79480%2C79761%2C79890%2C80277%2C80654%2C80745%2C80835%2C81280%2C81315%2C81500%2C81623%2C81718%2C81723%2C82236%2C82329%2C82350%2C82361%2C82389%2C82420%2C82425%2C82487%2C82545&opt_ideaid=0&opt_imei=860670041579235&opt_imsi=460022967371775&opt_limit_price=0&opt_mediaid=80004786&opt_meid=&opt_memberid=1108224472&opt_model=JKM-AL00&opt_nettype=NETTYPE_WIFI&opt_oaid=51f8fd73-fdff-4099-f75d-d3dfffdd8070&opt_orientation=0&opt_os_version=9&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=Y2Y0ZGMzMDI2N2ZkNmFiM2U1NGQwLjA3Ni0yMDUt&opt_seq_id=1&opt_slotid=7930188&opt_src=KUAISHOU&opt_unique_slotid=null&opt_v=2.810&os=Android&sh=2137&sw=1080&t=dsp_reqid&timestamp=1601288757838&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 9; JKM-AL00 Build/HUAWEIJKM-AL00)" "60.222.211.24" "-" 0.000 "tuid=B6h_jielwdkcHv1-lU0-4A" "tkid=ACEHqH-OJ6XB2Rwe_X6VTT7gONJcr_ReVShtZHd6",2020-09-28,18,25
1601288758827,192.168.86.55,36.104.224.121 - - [28/Sep/2020:18:25:58 +0800] "GET /bidsdk?iclicashsid=MDk2ZTJkNzgzNjk4NTI4NmRkOWQwLjI4Ny0yMDUt&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=2200186d1770ef3a&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30997000&opt_app_vn=3.9.97.000.0923.1549&opt_bootstrap_v=1.371&opt_brand=vivo&opt_channel=6&opt_current_index=1&opt_current_page=1&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=2.9.7.0&opt_dsp_slotid=944213596&opt_exp_id=1%2C79562%2C82572%2C82731&opt_ideaid=0&opt_imei=864427032303190&opt_imsi=460099901007717&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=50537750&opt_model=vivo+X9Plus&opt_nettype=NETTYPE_WIFI&opt_oaid=&opt_orientation=0&opt_os_version=7.1.2&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=MDk2ZTJkNzgzNjk4NTI4NmRkOWQwLjI4Ny0yMDUt&opt_seq_id=1&opt_slotid=7481000&opt_src=TOUTIAO&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=1920&sw=1080&t=dsp_reqid&timestamp=1601288759254&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9Plus Build/N2G47H)" "36.104.224.121" "-" 0.000 "tuid=5DbhvUGhQVmDbMsNp9Ooeg" "tkid=ACDkNuG9QaFBWYNsyw2n06h6B7in7WVl-UM0NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759870,192.168.86.63,120.242.97.56 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?iclicashsid=MGYxYTMzNjFjMzk4Y2NiYmE4YmMwLjU5OTE3MzQt&opt_ab_test_id=71849%2C71849%2C75625&opt_ab_trace=0&opt_ad_context=&opt_androidid=3873acfec106c34f&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30997000&opt_app_vn=3.9.97.000.0923.1549&opt_bootstrap_v=1.371&opt_brand=vivo&opt_channel=259&opt_current_index=0&opt_current_page=0&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=&opt_dsp_slotid=7051120273652928&opt_exp_id=1%2C67783%2C79562%2C82572%2C82731&opt_ideaid=0&opt_imei=&opt_imsi=&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=9352157&opt_model=V1934A&opt_nettype=NETTYPE_WIFI&opt_oaid=f707278835a655d370f2b6550030fc897baa3cd27dc8eb673a41fce8ec3382bb&opt_orientation=0&opt_os_version=9&opt_report_type=0&opt_sdk_adtype=7&opt_searchid=MGYxYTMzNjFjMzk4Y2NiYmE4YmMwLjU5OTE3MzQt&opt_seq_id=1&opt_slotid=7268884&opt_src=GDT&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=2256&sw=1080&t=dsp_reqid&timestamp=1601288759095&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 9; V1934A Build/PPR1.180610.011)" "120.242.97.56" "-" 0.000 "tuid=TnGQ06DQUQVlp_7PNgIEEQ" "tkid=ACFOcZDToNBRBWWn_s82AgQRa6Y937eVIFs0NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759038,192.168.91.250,103.27.26.70 - - [28/Sep/2020:18:25:58 +0800] "GET /bidsdk?iclicashsid=ZGI5ZTY3OTBjYmI2M2M1YzlmMDUwLjM1NDEwNDQx&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=574ec7b8c6b4b357&opt_app_pkgid=com.lechuan.mdwz&opt_app_vc=102500&opt_app_vn=1.25.0.0927.1150&opt_bootstrap_v=1.372&opt_brand=OPPO&opt_channel=&opt_current_index=0&opt_current_page=0&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=&opt_dsp_slotid=7225410&opt_exp_id=3%2C47297%2C54408%2C62105%2C66926%2C66928%2C67831%2C69656%2C75153%2C75248%2C75273%2C75297%2C76046%2C76136%2C76369%2C77711%2C77718%2C77749%2C79478%2C79479%2C79760%2C79889%2C80278%2C80655%2C80745%2C80836%2C81280%2C81315%2C81499%2C81623%2C81712%2C81717%2C81724%2C82235%2C82389%2C82487%2C82544%2C82577&opt_ideaid=0&opt_imei=866919039799337&opt_imsi=460110437357252&opt_limit_price=0&opt_mediaid=80004786&opt_meid=&opt_memberid=419947344&opt_model=OPPO+R11&opt_nettype=NETTYPE_WIFI&opt_oaid=&opt_orientation=0&opt_os_version=9&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=ZGI5ZTY3OTBjYmI2M2M1YzlmMDUwLjM1NDEwNDQx&opt_seq_id=1&opt_slotid=7930188&opt_src=BAIDU&opt_unique_slotid=null&opt_v=2.830-spe01&os=Android&sh=1920&sw=1080&t=dsp_reqid&timestamp=1601288756142&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 9; OPPO R11 Build/PKQ1.190414.001)" "103.27.26.70" "-" 0.000 "tuid=NGxF8hp8kE8OFrbmuxfjew" "tkid=ACE0bEXyGnyQTw4Wtua7F-N73dQcj0dGL0JtZHd6",2020-09-28,18,25
1601288759823,192.168.96.252,117.12.146.8 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?gdt_ad_num=2&iclicashsid=ODAzYjIxYjcwMWRkYTcxMTAxZDUwLjk5OC0yMDU1&is_background=0&is_cache=1&opt_ab_test_id=75626&opt_ab_trace=0&opt_ad_context=&opt_androidid=a0077e408e59b47e&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30995000&opt_app_vn=3.9.95.000.0909.1541&opt_bootstrap_v=1.371&opt_brand=OPPO&opt_channel=255&opt_current_index=1&opt_current_page=1&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=2.840&opt_dsp_slotid=1026890&opt_exp_id=1%2C79562%2C82572&opt_ideaid=0&opt_imei=866843048593152&opt_imsi=460014474353251&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=58458840&opt_model=PCHM10&opt_nettype=NETTYPE_WIFI&opt_oaid=&opt_orientation=1&opt_os_version=9&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=ODAzYjIxYjcwMWRkYTcxMTAxZDUwLjk5OC0yMDU1&opt_seq_id=1&opt_slotid=1026890&opt_src=ADX&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=1456&sw=720&t=dsp_reqid&timestamp=1601288759503&toutiao_ad_num=0&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 9; PCHM10 Build/PKQ1.190714.001)" "117.12.146.8" "-" 0.000 "tuid=Qn91KzhtKEMQ_0hnrOz4gw" "tkid=ACFCf3UrOG0oQxD_SGes7PiDWv_xOJF3Krg0NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759977,192.168.86.52,223.116.124.94 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?gdt_ad_num=0&iclicashsid=NmM1NmE2ZTQ0ZmU0ODlmMWQzZGQwLjAwMS0yMDUt&is_background=0&is_cache=0&opt_ab_test_id=&opt_ab_trace=0&opt_ad_context=&opt_androidid=4a0d85256c64b5ca&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30992000&opt_app_vn=3.9.92.000.0821.2027&opt_bootstrap_v=1.370&opt_brand=OPPO&opt_channel=22&opt_current_index=2&opt_current_page=1&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=2.840&opt_dsp_slotid=7049175&opt_exp_id=2&opt_ideaid=0&opt_imei=868063037281283&opt_imsi=460030920884119&opt_limit_price=0&opt_mediaid=80000001&opt_meid=A0000086008C5F&opt_memberid=55762459&opt_model=OPPO+A57&opt_nettype=NETTYPE_WIFI&opt_oaid=&opt_orientation=0&opt_os_version=6.0.1&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=NmM1NmE2ZTQ0ZmU0ODlmMWQzZGQwLjAwMS0yMDUt&opt_seq_id=1&opt_slotid=7049175&opt_src=ADX&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=1280&sw=720&t=dsp_reqid&timestamp=1601288747982&toutiao_ad_num=0&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO A57 Build/MMB29M)" "223.116.124.94" "-" 0.000 "tuid=qoPrWr8UQ1SmyxXqWx3feQ" "tkid=ACCqg-tavxRDVKbLFepbHd95V0YLs5yam4I0NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
1601288759772,192.168.95.56,60.164.36.29 - - [28/Sep/2020:18:25:59 +0800] "GET /bidsdk?iclicashsid=ODBmMTViZTUyZjBhNzRiN2VkOWMwLjM4MC0yMDUt&opt_ab_test_id=75625&opt_ab_trace=0&opt_ad_context=&opt_androidid=2a5caafc59615262&opt_app_pkgid=com.jifen.qukan&opt_app_vc=30994001&opt_app_vn=3.9.94.001.0904.1418&opt_bootstrap_v=1.370&opt_brand=HONOR&opt_channel=6&opt_current_index=0&opt_current_page=1&opt_dsp_bidding_mode=rtb&opt_dsp_sdk_version=&opt_dsp_slotid=8020099674493158&opt_exp_id=1%2C67782%2C79562%2C82572&opt_ideaid=0&opt_imei=864981042363420&opt_imsi=460012928304067&opt_limit_price=0&opt_mediaid=80000001&opt_meid=&opt_memberid=13332774&opt_model=BKK-AL10&opt_nettype=NETTYPE_WIFI&opt_oaid=fbff327f-fefb-6128-effd-def3afd63c04&opt_orientation=0&opt_os_version=8.1.0&opt_report_type=0&opt_sdk_adtype=3&opt_searchid=ODBmMTViZTUyZjBhNzRiN2VkOWMwLjM4MC0yMDUt&opt_seq_id=1&opt_slotid=7664563&opt_src=GDT&opt_unique_slotid=null&opt_v=2.840&os=Android&sh=1440&sw=720&t=dsp_reqid&timestamp=1601288760241&v=1.6.0 HTTP/1.1" 200 0 "-" "Dalvik/2.1.0 (Linux; U; Android 8.1.0; BKK-AL10 Build/HONORBKK-AL10)" "60.164.36.29" "-" 0.000 "tuid=5Hlm0Sy6ccowjGfscTIX1A" "tkid=ACHkeWbRLLpxyjCMZ-xxMhfUugLFRAG1fU40NzUxNDk1MDg5NTIyNQ",2020-09-28,18,25
