searchid,ideaid,price,ctr,cpm,floorbid,day,hour,minute
IpsZEqO254Gl08e3h7ZXq56s8zOK0H6IsIi8KVuY,112564251,1854,0,0,0.0,2020-09-21,11,10
ogGnGGM98jqwiqZwP2VJEoqNAqwK0HzmrXZt0JZ4,7275797,30,0,0,0.0,2020-09-21,11,10
s9MbMe85ZevOhitt1KYmmCwDUzNK0HwpyDPrFas1,-1589515218,25,0,0,0.0,2020-09-21,11,10
d0MMsXi8yVsqAmAgGGg7a0Yx3mHK0Hz9IrD6yrxu,0,1900,0,0,0.0,2020-09-21,11,10
7t0GXBIcm2VVVvGI9_nFsPud_7kK0HzmeVGN3UsW,6688903,1,0,0,0.0,2020-09-21,11,10
LGbK0RXFNWmvqAsijx_tvf3wnNwK0HgHBcY7sagm,0,1900,0,0,0.0,2020-09-21,11,10
V55LBaD6Hn2NtQF-bEw7U2XLeXLK0Hz1xNeVFbgl,7248514,2,0,0,0.0,2020-09-21,11,10
OZX-46huhR7jBBZz6pd4yAq0FlOK0HgHK05ZylNM,7035403,46,0,0,0.0,2020-09-21,11,10
-vjy4wyFOMQbMtLWucH_cXrb051K0HgEqhz4OThb,7319945,18,0,0,0.0,2020-09-21,11,10
XARXoxkVq4fbioDVTZy_Qs9402kK0Hz352J4OlKD,-1345839101,36,0,0,0.0,2020-09-21,11,10
lPzkyRExl4jVGoOMX-Tm7nBlQJvK0HkKKNybFpJT,-1729453033,138,0,0,0.0,2020-09-21,11,15
Kjdc7Xp6DgRmd-m8sXEYjWLQuuFK0HQ_mwEqVk35,0,1900,0,0,0.0,2020-09-21,11,15
1adhpsfsCZzXoAtCE7Jd4DR526UK0HJpAZiC4_6m,7136045,10,0,0,0.0,2020-09-21,11,15
_niPSXPQMW5yFMtHXtlhVY5EoILK0H9_7CoK4O59,7217361,1,0,0,0.0,2020-09-21,11,15
RolUSfDN37IzQLA1iCa1i06yS-kK0HwVH1yC4tgF,-1798522867,200,0,0,0.0,2020-09-21,11,15
Yf8Zbtb8pmDTxUOJO7v3erSxaS-K0Hz7cN7AFbF-,7317121,1,0,0,0.0,2020-09-21,11,15
aBvAALElyFvAHnzpKcIUzayLIL-K0H99FxIBE2Ug,7340838,8,0,0,0.0,2020-09-21,11,15
QQ2_rhNDoinqNahtVTt02NgePc4K0HwGVxkkFJ9I,5927335,85,0,0,0.0,2020-09-21,11,15
MdEMF5t1nxtvjNtIftdwSoanMxkK0H9fMMbyGmxl,7353032,1,0,0,0.0,2020-09-21,11,15
e5XwAbkTf8-wfNz0xmK8mmLbq9OK0HJL26p__tcB,7342854,362,0,0,0.0,2020-09-21,11,15
